PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
5530,144209083,8923,CCCCOCCOCCOCCO,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,57.5349,40.5607,inactive,,0,inconclusive agonist,38.4531,60.1165,inactive,,0,SigmaAldrich
5531,144209084,62882,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,19.6919,33.5824,inconclusive antagonist,,,SIGMA
5532,144209085,5281,CCCCCCCCCCCCCCCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,SIGMA
5533,144209086,8400,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5534,144209087,66,C1=CC(=C(C=C1Cl)O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5535,144209088,7289,C(C(CCl)O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5536,144209089,8679,C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C=C2,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,41.7721,-94.5109,inactive,,0,active antagonist,48.7027,-105.584,active antagonist,40.1994,-65.6546,SIGMA
5537,144209090,237332,C1=C(OC(=C1)C=O)CO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Pfaltz-Bauer
5538,144209091,11432,C1=NN=CN1N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5539,144209092,5283349,CCCCC/C=C/C=C/C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
5540,144209093,7026,CN(C)CC1=CC(=C(C(=C1)CN(C)C)O)CN(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5541,144209094,38479,CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5542,144209095,17730,C1=CC(=CC=C1N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O)S(=O)(=O)[O-].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5543,144209096,16278,CC(=O)CC(=O)N(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Sensient
5544,144209097,7488,C1=CC(=CC=C1C(=O)Cl)C(=O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,SigmaAldrich
5545,144209098,13583,CCCCCCCCCCCCN,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5546,144209099,6327114,CO[P+](=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5547,144209100,13522,CCO[Si](CCC#N)(OCC)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5548,144209101,8906,CCCCCCCCCCCCOC(=O)C(=C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5549,144209102,6758,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,0.221671,-94.4451,inactive,,0,active antagonist,0.351325,-116.733,active antagonist,0.0728409,-65.7472,SIGMA
5550,144209103,5987,NS(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5551,144209104,11933,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N.Cl.Cl,Active,60,,,active antagonist,active antagonist,6.19919,-108.467,inactive,,0,active antagonist,13.1019,-157.535,inconclusive antagonist,39.1143,-105.707,SigmaAldrich
5552,144209105,8445,CC1=CC(=C(C=C1)OC)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5553,144209106,11860,C1=C(C=C(C(=C1Cl)N)Cl)N,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,43.2837,-79.5169,inactive,,0,active antagonist,30.6425,-74.604,inactive,,0,SIGMA
5554,144209107,7375,C1=CC(=CC(=C1)N)C(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5555,144209108,8722,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,0.710731,-82.3932,inconclusive,,,active antagonist,0.739955,-96.7793,active antagonist,0.886214,-93.382,SIGMA
5556,144209109,3589,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,58.46,-42.811,Pfaltz-Bauer
5557,144209110,12329,COC(=O)CCCCC(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5558,144209111,36242,CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C,Active,55,,,active antagonist,active antagonist,11.5663,-90.7107,inactive,,0,active antagonist,15.4239,-101.449,inactive,,0,SIGMA
5559,144209112,7355,CC(=C)C(=O)OCCOC(=O)C(=C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5560,144209113,6336,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,61.4186,-36.3399,inactive,,0,inconclusive antagonist,57.9829,-50.161,inconclusive antagonist,51.6773,-35.6846,SigmaAldrich
5561,144209114,71157,CC1=C(C(=CC=C1)C)NC(=O)CN2CCCC2=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5562,144209115,32933,CCCCCCCCCCC=CC1CC(=O)OC1=O,Active,47,,,active antagonist,active antagonist,43.8655,-63.7949,inactive,,0,active antagonist,53.1443,-67.3905,inactive,,0,Sensient
5563,144209116,1110,C(CC(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5564,144209117,16666,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
5565,144209118,7269,CC1=CC(=C(C=C1C)C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5566,144209119,8285,C(C(CO)(CO)CO)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5567,144209120,23667638,C1(=NC(=O)N(C(=O)N1Cl)Cl)[O-].O.O.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5568,144209121,27461,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Fe+3],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
5569,144209122,4509,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,15.4296,-115.982,active agonist,5.47461,27.9086,active antagonist,22.822,-103.792,active antagonist,18.6933,-57.8503,SigmaAldrich
5570,144209123,1183,COC1=C(C=CC(=C1)C=O)O,Inactive,0,,,inactive,inactive,,0,active agonist,1.23961,29.0549,active agonist,0.621278,58.6119,inactive,,0,SIGMA
5571,144209124,4754,CCOC1=CC=C(C=C1)NC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5572,144209125,7421,CN(C)C1=CC(=CC=C1)O,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,14.0102,25.2618,inconclusive agonist,12.4866,61.9394,inactive,,0,SIGMA
5573,144209126,15106,C1=CC=C2C(=C1)C=CC=C2NCCN.Cl.Cl,Inconclusive,5,,,inconclusive,inconclusive agonist,9.21675,31.6746,inactive,,0,inactive,,0,active antagonist,43.6092,-57.3289,SIGMA
5574,144209127,6559,CC(C)C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5575,144209128,1983,CC(=O)NC1=CC=C(C=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,SIGMA
5576,144209129,6028,C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl,Inconclusive,5,,,inconclusive,inconclusive antagonist,53.8136,-119.689,active agonist,35.2825,60.7694,inconclusive agonist,1.51667,67.6664,active antagonist,51.7876,-41.0509,SigmaAldrich
5577,144209130,7463,CC1=CC=C(C=C1)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5578,144209131,6184,CCCCCC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
5579,144209132,5125,CCCCSP(=O)(SCCCC)SCCCC,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,23.9719,-35.1309,inactive,,0,inconclusive antagonist,0.602146,-37.3141,inactive,,0,ChemService
5580,144209133,79878,CCN(CC)C1=CC(=C(C=C1)C(=O)C2=CC=CC=C2C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Sensient
5581,144209134,70837,C1=CC=C(C=C1)C(=O)C2=C(C(=C(C=C2)O)O)O,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,20.8284,22.3455,active agonist,,45.8803,inactive,,0,SigmaAldrich
5582,144209135,5780,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5583,144209136,17004,CC1=CC(=C(C=C1)O)C(C)(C)C,Inconclusive,5,,,inconclusive,inconclusive,,,inconclusive antagonist,,,inconclusive antagonist,17.342,-93.3332,active antagonist,15.4561,-83.6058,SigmaAldrich
5584,144209137,10708,C1=CC(=C(C=C1C(=O)O)C(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5585,144209138,12021,COC(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5586,144209139,342,CC1=CC(=CC=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
5587,144209140,713,C(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LKT Lab
5588,144209141,31244,COC1=CC=C(C=C1)C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5589,144209142,5147,C1=CC=C(C(=C1)C(=O)N)O,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inconclusive agonist,,,active agonist,11.95,77.9992,inactive,,0,SIGMA
5590,144209143,7444,CC1=C(C=C(C=C1)[N+](=O)[O-])N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5591,144209144,9076,CCOC1=CC=C(C=C1)N,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,58.3318,-72.2538,inactive,,0,active antagonist,59.4619,-50.4852,inconclusive antagonist,58.3318,-42.8781,SIGMA
5592,144209145,6720,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inconclusive agonist,,7.8699,inactive,,0,SIGMA
5593,144209146,4909,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5594,144209147,13624,C1=CC=C2C(=C1)NC(=N2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
5595,144209148,4891,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SIGMA
5596,144209149,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5597,144209150,24730,CC(CN(CC(C)O)CC(C)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5598,144209151,75576,C1=CC=C(C(=C1)CC2=CC=C(C=C2)O)O,Inconclusive,5,,,inconclusive,active antagonist,46.8159,-76.7496,active agonist,19.7421,31.5281,inconclusive,,,inactive,,0,Sensient
5599,144209152,12736,C(CCCCCC(=O)O)CCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,52.3122,50.1833,inactive,,0,SIGMA
5600,144209153,2566,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,21.5541,inconclusive agonist,35.4217,99.0391,inactive,,0,SigmaAldrich
5601,144209154,6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,15.7292,-100.349,inactive,,0,active antagonist,16.3446,-130.531,active antagonist,15.137,-99.7795,SigmaAldrich
5602,144209155,31288,CCCCOCCOCCOC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5603,144209156,15278,CC1(CC2=C(O1)C(=CC=C2)O)C,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,38.1708,27.1639,inconclusive agonist,36.0356,65.3419,inactive,,0,SigmaAldrich
5604,144209157,60196372,CC1C=C[C-]=C1.[C-]#[O+].[C-]#[O+].[C-]#[O+].[Mn],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5605,144209158,7371,C1=CC=C(C=C1)S(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5606,144209159,8560,C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SIGMA
5607,144209160,12968,CCCN(CCC)C(=O)SCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
5608,144209161,3121,CCCC(CCC)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5609,144209162,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,15.1326,-84.6477,inconclusive antagonist,56.3309,-35.3629,active antagonist,23.9835,-126.201,active antagonist,40.2637,-84.5489,LKT Lab
5610,144209163,2268,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5611,144209164,7970,CC1=CN=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5612,144209165,445639,CCCCCCCC/C=C\CCCCCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5613,144209166,4944,CC(C)OC1=CC=CC=C1OC(=O)NC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,8.71822,52.1901,inactive,,0,SIGMA
5614,144209167,37123,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5615,144209168,86607,CCC(C)OC(=O)C1=CC=C(C=C1)O,Inconclusive,5,,,inconclusive,active antagonist,55.2907,-50.473,inconclusive agonist,,,inconclusive agonist,,,inactive,,0,Sensient
5616,144209169,560256,CN(C)C(=S)[S-].[Na+],Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,16.4176,-108.671,inconclusive agonist,11.1852,53.0483,active antagonist,18.4209,-117.821,active antagonist,11.6228,-71.7958,TCI
5617,144209170,9481,C1=CC(=C(C=C1C(F)(F)F)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,SigmaAldrich
5618,144209171,7615,CC(CN(CCN(CC(C)O)CC(C)O)CC(C)O)O,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,SIGMA
5619,144209172,7677,C1CN(CCN1)CCO,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,38.5244,32.7345,inactive,,0,inconclusive agonist,57.6415,54.7695,inactive,,0,SigmaAldrich
5620,144209173,7870,CC(CC(C)(C)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5621,144209174,6327349,CCCCO[P+](=O)OCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5622,144209175,7516,C1=CC=C(C=C1)NN,Active,48,,,active antagonist,active antagonist,15.9133,-30.6812,inactive,,0,active antagonist,24.2713,-50.4703,inactive,,0,SIGMA
5623,144209176,18635,CSCCC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5624,144209177,10255083,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5625,144209178,4284,CCN(CC)C(=O)C1=CC=CC(=C1)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5626,144209179,6618,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,34.5891,-72.6711,inactive,,0,inconclusive antagonist,48.8584,-119.836,active antagonist,50.7699,-71.7937,SIGMA
5627,144209180,7505,C1=CC=C(C=C1)C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5628,144209181,17162,CCCCC(CC)COCC1CO1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5629,144209182,7048,COC1=CC=CC=C1[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5630,144209183,4632,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inconclusive agonist,,,inactive,,0,SIGMA
5631,144209184,2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SIGMA
5632,144209185,8607,C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,3.55066,-116.126,inconclusive agonist,2.41904,26.1772,active antagonist,4.64489,-130.001,active antagonist,3.41698,-93.3856,SIGMA
5633,144209186,21307,CC1=C(SCCO1)C(=O)NC2=CC=CC=C2,Inconclusive,5,,,inconclusive,inconclusive antagonist,55.8497,-41.7068,inconclusive agonist,,19.2646,inactive,,0,inactive,,0,SigmaAldrich
5634,144209187,2266,C(CCCC(=O)O)CCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5635,144209188,638024,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,51.9882,-60.3407,inactive,,0,SigmaAldrich
5636,144209189,10870,CC(C)CC1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5637,144209190,7635,CCCCC(CC)COC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5638,144209191,7814,C1=CC(=CC=C1N)N,Inconclusive,5,,,inconclusive,active antagonist,46.4364,-86.4462,inactive,,0,active agonist,3.61847,76.5066,inactive,,0,SigmaAldrich
5639,144209192,17756,CCCOCCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5640,144209193,135444498,CC1=CC(=O)NC(=N1)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5641,144209194,5881,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,18.4191,-115.378,inactive,,0,active antagonist,21.8911,-106.898,active antagonist,36.0525,-36.9421,SigmaAldrich
5642,144209195,3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,Inconclusive,5,,,inconclusive,active antagonist,59.767,-36.073,inactive,,0,inactive,,0,inactive,,0,SIGMA
5643,144209196,1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,Active,64,,,active antagonist,active antagonist,0.646604,-74.152,inactive,,0,active antagonist,0.725502,-92.0178,active antagonist,2.57418,-42.4384,SIGMA
5644,144209197,5320,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5645,144209198,6739,CC1=C(C(=CC=C1)[N+](=O)[O-])C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5646,144209199,7703,CC=CC1=CC=C(C=C1)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5647,144209200,18725,CCCCC(CC)COC(=O)C1=CC(=C(C=C1)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,Active,49,,,active antagonist,active antagonist,6.66196,-30.5719,inactive,,0,inconclusive antagonist,,,inactive,,0,SigmaAldrich
5648,144209201,7211,CCCC(C(CC)CO)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SIGMA
5649,144209202,931,C1=CC=C2C=CC=CC2=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5650,144209203,991,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5651,144209204,30479,CC(C)(C)C1=NN=C(N(C1=O)N)SC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5652,144209205,53518,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,25.149,46.7191,inactive,,0,SigmaAldrich
5653,144209206,54739,CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
5654,144209207,9889168,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-],Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,1.02933,-88.6923,active antagonist,36.5219,-78.8309,active antagonist,2.58555,-132.3,active antagonist,0.833464,-99.4611,Cytec
5655,144209208,11369,CCC1=C(C(=CC=C1)CC)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5656,144209209,23665759,C(C(=O)[O-])Cl.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5657,144209210,7997,CCCOC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,SigmaAldrich
5658,144209211,18204,CN(C)CCOCCN(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5659,144209212,6616,CC1(C2CCC(C2)C1=C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5660,144209213,11595,CCCCNC(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
5661,144209214,23668192,CC1=C(C=C(C=C1)S(=O)(=O)[O-])C.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
5662,144209215,15415,CCOC(=O)CC(C(=O)OCC)SP(=O)(OC)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
5663,144209216,14855,CC1=C(C=CC(=C1)Cl)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,53.3718,122.527,inactive,,0,SIGMA
5664,144209217,6877,CCOC(=O)C1=CC=CC=C1N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5665,144209218,4650,C1=CC(=O)C=CC1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,34.8564,84.844,inactive,,0,SIGMA
5666,144209219,5546,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,Inconclusive,10,,,inconclusive agonist (fluorescent),active agonist,10.4643,97.9896,inactive,,0,active agonist,13.429,168.011,active antagonist,49.5119,-68.9542,SIGMA
5667,144209220,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,48.7027,54.1207,inactive,,0,SIGMA
5668,144209221,7285,C(C(CCl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
5669,144209222,19042,C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,3.68543,-103.626,inactive,,0,active antagonist,3.90381,-119.751,active antagonist,6.18711,-101.091,ABCR
